m49,Country,LDC,LLDC,SIDS,LIFDC,NFIC
570,Niue,No,No,Yes,No,No
807,North Macedonia,No,Yes,No,No,No
580,Northern Mariana Islands,No,No,Yes,No,No
586,Pakistan,No,No,No,No,Yes
585,Palau,No,No,Yes,No,No
598,Papua New Guinea,No,No,Yes,No,No
600,Paraguay,No,Yes,No,No,No
604,Peru,No,No,No,No,Yes
630,Puerto Rico,No,No,Yes,No,No
498,Republic of Moldova,No,Yes,No,No,No
646,Rwanda,Yes,Yes,No,Yes,Yes
659,Saint Kitts and Nevis,No,No,Yes,No,Yes
662,Saint Lucia,No,No,Yes,No,Yes
670,Saint Vincent and the Grenadines,No,No,Yes,No,Yes
882,Samoa,No,No,Yes,No,No
678,Sao Tome and Principe,Yes,No,Yes,Yes,Yes
686,Senegal,Yes,No,No,Yes,Yes
690,Seychelles,No,No,Yes,No,No
694,Sierra Leone,Yes,No,No,Yes,Yes
702,Singapore,No,No,Yes,No,No
534,Sint Maarten (Dutch part),No,No,Yes,No,No
90,Solomon Islands,Yes,No,Yes,Yes,Yes
706,Somalia,Yes,No,No,Yes,Yes
728,South Sudan,Yes,Yes,No,Yes,Yes
144,Sri Lanka,No,No,No,No,Yes
729,Sudan,Yes,No,No,Yes,Yes
740,Suriname,No,No,Yes,No,No
760,Syrian Arab Republic,No,No,No,Yes,No
762,Tajikistan,No,Yes,No,Yes,No
626,Timor-Leste,Yes,No,Yes,No,Yes
768,Togo,Yes,No,No,Yes,Yes
776,Tonga,No,No,Yes,No,No
780,Trinidad and Tobago,No,No,Yes,No,Yes
788,Tunisia,No,No,No,No,Yes
795,Turkmenistan,No,Yes,No,No,No
796,Turks and Caicos Islands,No,No,Yes,No,No
798,Tuvalu,Yes,No,Yes,No,Yes
800,Uganda,Yes,Yes,No,Yes,Yes
834,United Republic of Tanzania,Yes,No,No,Yes,Yes
850,United States Virgin Islands,No,No,Yes,No,No
860,Uzbekistan,No,Yes,No,Yes,No
548,Vanuatu,Yes,No,Yes,No,Yes
862,Venezuela (Bolivarian Republic of),No,No,No,No,Yes
704,Viet Nam,No,No,No,Yes,No
887,Yemen,Yes,No,No,Yes,Yes
894,Zambia,Yes,Yes,No,No,Yes
716,Zimbabwe,No,Yes,No,Yes,No
